trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-146.05946409413198,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-127.29489821158587,"{0: 16, 1: 1, 2: 4, 3: 3, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-135.69272608391245,"{0: 18, 1: 3, 2: 7, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-127.03398861521303,"{0: 13, 1: 2, 2: 1, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,12,8.345923894572728,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-70.47995745340239,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-32.793579317342065,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",35,0,-171.4837030734323,"{0: 24, 1: 3, 2: 4, 3: 1, 4: 3}",0

9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,14,0.5729171135659132,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-120.35623456349339,"{0: 23, 1: 1, 2: 3, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,8,-35.14136225411869,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-76.03609664676671,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,2,-27.06485823297856,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,14,-9.785756986367492,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",35,1,-112.50549632948812,"{0: 28, 1: 1, 2: 1, 3: 1, 4: 3}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,6,-2.1036796588539133,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-45.75676528425993,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,32.74521048475712,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,8,31.15695158373061,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-58.92010690656743,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-54.410823865172205,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
2,True,"{'a': 0.0, 'e': 0.0}",30,14,5.745206848799515,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",25,3,34.776494890399135,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",20,0,20.799278014306225,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",25,14,18.18847559647078,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,0,-8.081197966140124,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
7,True,"{'a': 0.0, 'e': 0.0}",25,10,20.770697436346406,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",30,2,42.79321815638591,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",25,13,19.309254545338934,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",25,1,-25.720471002440927,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 1}",1
