trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,FALSE,"{'a': 0.01, 'e': 0.9999500004166653}",25,0,-191.4031698,"{0: 12, 1: 3, 2: 7, 3: 0, 4: 3}",0
2,FALSE,"{'a': 0.01, 'e': 0.9998000066665778}",20,0,-85.24638561,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
3,FALSE,"{'a': 0.01, 'e': 0.9995500337489875}",20,0,-64.59782132,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
4,FALSE,"{'a': 0.01, 'e': 0.9992001066609779}",20,0,-134.6225793,"{0: 10, 1: 5, 2: 2, 3: 1, 4: 2}",0
5,FALSE,"{'a': 0.01, 'e': 0.9987502603949663}",30,0,-143.8891704,"{0: 17, 1: 5, 2: 6, 3: 0, 4: 2}",0
6,FALSE,"{'a': 0.01, 'e': 0.9982005399352042}",20,0,-125.0778928,"{0: 10, 1: 5, 2: 3, 3: 0, 4: 2}",0
7,FALSE,"{'a': 0.01, 'e': 0.9975510002532796}",20,0,-85.0032217,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
8,FALSE,"{'a': 0.01, 'e': 0.9968017063026194}",25,0,-146.8912498,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
9,FALSE,"{'a': 0.01, 'e': 0.9959527330119943}",20,0,-165.4661633,"{0: 8, 1: 2, 2: 7, 3: 1, 4: 2}",0
10,FALSE,"{'a': 0.01, 'e': 0.9950041652780257}",20,0,-127.1915358,"{0: 8, 1: 5, 2: 5, 3: 1, 4: 1}",0
11,FALSE,"{'a': 0.01, 'e': 0.9939560979566968}",25,0,-91.55464304,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
12,FALSE,"{'a': 0.01, 'e': 0.9928086358538663}",30,0,-92.87543819,"{0: 20, 1: 5, 2: 3, 3: 1, 4: 1}",0
13,FALSE,"{'a': 0.01, 'e': 0.9915618937147881}",30,3,-113.7817135,"{0: 15, 1: 4, 2: 7, 3: 0, 4: 1}",1
14,FALSE,"{'a': 0.01, 'e': 0.9902159962126371}",20,0,-133.8332593,"{0: 13, 1: 0, 2: 3, 3: 2, 4: 2}",0
15,FALSE,"{'a': 0.01, 'e': 0.9887710779360422}",25,0,-240.8847322,"{0: 13, 1: 2, 2: 4, 3: 2, 4: 4}",0
16,FALSE,"{'a': 0.01, 'e': 0.9872272833756269}",20,0,-181.6203466,"{0: 11, 1: 1, 2: 3, 3: 2, 4: 3}",0
17,FALSE,"{'a': 0.01, 'e': 0.9855847669095608}",20,0,-121.6373109,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
18,FALSE,"{'a': 0.01, 'e': 0.9838436927881214}",25,0,-227.4784833,"{0: 9, 1: 4, 2: 6, 3: 4, 4: 2}",0
19,FALSE,"{'a': 0.01, 'e': 0.9820042351172703}",25,0,-37.36215674,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
20,FALSE,"{'a': 0.01, 'e': 0.9800665778412416}",35,0,-231.8802022,"{0: 18, 1: 7, 2: 6, 3: 0, 4: 4}",0
21,FALSE,"{'a': 0.01, 'e': 0.9780309147241483}",20,0,-107.1384738,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
22,FALSE,"{'a': 0.01, 'e': 0.9758974493306055}",25,2,-84.10850733,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 1}",1
23,FALSE,"{'a': 0.01, 'e': 0.9736663950053749}",20,0,-100.9876382,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
24,FALSE,"{'a': 0.01, 'e': 0.9713379748520297}",25,13,-5.63540488,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
25,FALSE,"{'a': 0.01, 'e': 0.9689124217106447}",25,0,-167.3541366,"{0: 14, 1: 4, 2: 4, 3: 0, 4: 3}",0
26,FALSE,"{'a': 0.01, 'e': 0.9663899781345132}",20,0,-9.631581549,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
27,FALSE,"{'a': 0.01, 'e': 0.9637708963658905}",25,0,-208.1966169,"{0: 12, 1: 2, 2: 6, 3: 2, 4: 3}",0
28,FALSE,"{'a': 0.01, 'e': 0.9610554383107709}",25,0,-115.9523246,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
29,FALSE,"{'a': 0.01, 'e': 0.9582438755126972}",20,0,-272.5923006,"{0: 8, 1: 2, 2: 3, 3: 2, 4: 5}",0
30,FALSE,"{'a': 0.01, 'e': 0.955336489125606}",25,0,-126.6155588,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
31,FALSE,"{'a': 0.01, 'e': 0.9523335698857134}",20,0,-58.76084626,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
32,FALSE,"{'a': 0.01, 'e': 0.9492354180824408}",30,5,-65.34675849,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",1
33,FALSE,"{'a': 0.01, 'e': 0.946042343528387}",20,0,-35.6249716,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
