trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-139.38004765356771,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-168.08321157159963,"{0: 9, 1: 2, 2: 5, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-121.22140032485653,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-83.06366504526787,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-94.8729212340119,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-141.39957188828637,"{0: 18, 1: 4, 2: 6, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-209.08989872908577,"{0: 10, 1: 2, 2: 9, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-195.77428383807094,"{0: 12, 1: 4, 2: 5, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-168.63164158884592,"{0: 9, 1: 4, 2: 10, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,19,2.1171821078071575,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-42.1750158481941,"{0: 19, 1: 5, 2: 0, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-80.25971070336807,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-73.70889431397988,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,6,-155.9799225580753,"{0: 11, 1: 6, 2: 4, 3: 1, 4: 2}",1
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-123.19666980785324,"{0: 12, 1: 5, 2: 7, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-79.54158609476832,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-257.28460243526615,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 5}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-263.2254582186077,"{0: 6, 1: 2, 2: 6, 3: 2, 4: 4}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-124.44346417324566,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,3,-22.842476259152633,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 0}",1
1,True,"{'a': 0.5, 'e': 1.0}",30,10,-48.044541927833116,"{0: 12, 1: 6, 2: 1, 3: 1, 4: 0}",1
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-124.02239965044357,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-130.36508452110178,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,6,-14.287930714589159,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 0}",1
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-146.23184533789654,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-174.133019352612,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 4}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-117.26586637727337,"{0: 12, 1: 4, 2: 1, 3: 1, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-118.33037740098285,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-209.44659895306927,"{0: 12, 1: 3, 2: 5, 3: 2, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-45.80778662699192,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
